"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75","infection_per_million"
"24",23,10,153546815.263744,1827653.37537835,7289582.07381136,12496821.1537956,14419696.3161911,15015855.6761957,12284879.1345909,11691430.5119334,11415529.2913495,10901903.4196789,10265987.7925178,10120617.4219304,9372233.85643201,8246982.86330632,6907967.83295909,4479395.68547284,2480594.76258779,4329684.09561316,153.546815263744
"25",24,10,151005687.307746,1796238.3204308,7161694.78244754,12303842.4652255,14250765.346068,14844456.454204,12073670.1106108,11479971.298577,11210859.1482239,10708348.9910845,10085902.8536909,9939629.1115793,9224011.90409547,8113290.91663462,6793088.67595963,4371732.377767,2421553.09138973,4226631.45975701,151.005687307746
"26",25,10,150262411.455136,1787368.04508754,7123415.28102866,12259307.8059733,14212382.1681885,14806119.6808023,12024381.6766242,11370341.7128154,11104128.8405272,10607146.9649378,9992785.15961743,9846001.55959822,9247171.1571499,8135135.33875647,6808515.43961953,4339063.13808186,2403691.69754944,4195455.78877825,150.262411455136
"27",26,10,151126490.964189,1803363.33897689,7184839.99067333,12315572.9969124,14260000.6523522,14856326.6816014,12091599.9036186,11502971.2777478,11232391.0081158,10729201.8840939,10105628.3448958,9960723.9665886,9183231.14265083,8073132.50038755,6761035.17378133,4390311.25849447,2431743.25212122,4244417.5911769,151.126490964189
"28",27,10,149366577.658685,1766239.5569927,7034427.5234332,12198181.145913,14151289.2701365,14744966.8991555,11968923.4164028,11375551.6780557,11109558.2356473,10613398.1067339,9997003.89525005,9847659.15296081,9039270.79782386,7937845.40941907,6645413.32471448,4340262.56694128,2402758.94216285,4193827.73694222,149.366577658685
"29",28,10,150067870.379201,1780904.8976518,7091273.69257699,12304914.8777641,14266531.3262379,14860294.3153426,12063966.5258604,11377466.9560526,11110978.9899436,10615835.9329775,10001556.6799509,9850976.46547246,9090157.659015,7978709.19402266,6677467.48520501,4361431.46945049,2416897.83651377,4218506.07516313,150.067870379201
"30",29,10,148478545.557338,1767107.79137974,7032473.81273946,12082056.5504062,14034618.9203394,14633231.3959326,11860244.5855716,11265329.8277045,11003433.5771613,10510843.8806711,9900701.1957758,9752157.55412156,9102956.17078754,7999946.61758663,6694607.85445603,4300102.67392785,2381686.21495022,4157046.93382684,148.478545557338
"31",30,10,148746788.889029,1770886.688961,7044392.96701351,12093125.7556903,14043535.1693527,14643658.1355463,11873899.0845283,11320728.7985862,11058511.1858376,10563622.8526696,9948801.65064883,9797892.06894911,9041351.1369225,7936864.97601609,6643178.2438377,4350354.39632521,2409824.92275065,4206160.85539408,148.746788889029
"32",31,10,149236536.012413,1775797.34761763,7063581.84560129,12144404.5936151,14102991.8311876,14698388.2526945,11912576.4102499,11322083.5055478,11059883.6143835,10566939.7807377,9953521.88827091,9802507.08256251,9034465.18973935,7934231.79471142,6646148.43275922,4447530.61528171,2466463.95508948,4305019.87236325,149.236536012413
"33",32,10,148649046.489579,1766924.96035356,7025390.87713967,12163498.3885889,14123153.0588446,14723175.3244197,11942197.5648288,11355729.0829978,11090094.4094606,10593566.2120706,9977696.14428431,9827186.14579638,8997809.23213292,7889164.86963395,6597191.50764894,4201604.05511801,2321925.46107055,4052739.1951893,148.649046489579
