"","relative_coverage","vaccine_efficacy","total_mortality","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"27",0.26,0.1,101065.19978427,174.053379457607,696.227848111968,438.605059438925,508.03318149575,3083.0532766337,5879.98468452131,5476.56375115383,5347.22392107502,5109.11580242849,4814.77205485347,4745.72716159018,8349.22373948387,7375.96739967393,6190.92153390266,17015.7782487482,9419.29906927005,16440.6496724309
"28",0.27,0.1,96888.0128869915,147.872758562723,591.34287480345,464.120066635963,541.155738526527,3589.61042208021,6807.86526435797,6497.63118002487,6350.34090159376,6067.666012128,5714.54654860386,5619.09693139828,7486.74582075016,6567.77576367914,5493.53386460504,13877.0821706476,7675.18746530387,13396.4391032901
"29",0.28,0.1,97864.4902945944,146.969430756536,587.648783616545,439.618717417317,510.467605765956,3205.49920674044,6153.17608035481,5730.59614338462,5595.71005213926,5346.6800983587,5038.49066744719,4961.92062168752,8290.55162474628,7288.36250999248,6099.52321655071,15259.2272673496,8454.09206787261,14755.9562004139
"30",0.29,0.1,94461.5074181139,151.611553334955,606.270376025382,439.786969336374,510.509038542332,3000.98069272978,5701.98681011022,5322.01250382916,5196.09444288082,4964.46839064775,4678.47715017817,4608.91649812107,7773.99460237426,6839.38674378195,5721.02215122046,15465.9007482746,8552.45234310273,14927.636403624
"31",0.3,0.1,94030.3468715316,155.025083193451,619.677091458412,453.171060617249,525.100720663117,3207.21966365292,6165.59011121425,5995.32323184325,5854.3507912067,5588.81029867175,5259.98307507835,5186.97997414528,8049.87377268774,7067.91655838244,5910.99033619915,13507.5458578675,7460.70768422956,13022.0815604205
"32",0.31,0.1,95499.8239145516,144.477280010425,577.467917088671,418.161284088604,485.757043136302,3115.01580360509,6011.4230958447,5691.9293432689,5561.21164198881,5311.96252542004,5003.02096593666,4923.73178975371,8285.15668173554,7293.57862656571,6094.7889620642,14535.7054385553,8030.25454791834,14016.1809675707
"33",0.32,0.1,103065.684348103,151.422699146979,604.84502169678,445.729983267542,515.544341899315,3361.13327259088,6544.63279112867,6140.82021918749,5996.60786008484,5728.64582393703,5397.83038837649,5318.14877194407,8274.67292112739,7289.08367614431,6109.6741886312,16335.1956081937,9052.05063569973,15799.6461450468
"34",0.33,0.1,95672.5987784724,150.114096794024,599.57149604829,457.115177154113,530.048832278354,3163.12346352622,6039.19185873759,5571.97944124721,5444.03343950383,5203.46696534354,4905.16679575699,4824.99564367986,7854.93914735966,6917.3392068612,5791.8887106341,15142.9253439453,8405.52057906322,14671.1785805388
"35",0.34,0.1,91168.8255745721,138.318133091454,552.347666756827,430.694163660267,498.686664951937,3141.13362301102,6057.28842684045,5713.20137264574,5580.32263044612,5332.75299463624,5024.31443596966,4944.37713613578,7566.79401275356,6622.37184160179,5535.15565974743,13521.557616339,7470.44027378014,13039.0689222048
"36",0.35,0.1,94070.1860768172,134.387257629659,536.581697894549,419.352639963059,483.897395543111,2959.85365711667,5700.99858279064,5287.52465607198,5165.39559116145,4935.02231676667,4650.22164042365,4574.14325669717,7429.16007442432,6520.0427123539,5455.17151984567,15768.9158241699,8759.86251829276,15289.6547356721
"37",0.36,0.1,92671.8899619955,132.224393924535,527.665808761027,462.259304355821,537.564725121316,3488.87223793405,6770.12437220114,6510.63903409674,6360.24509019434,6072.99108851642,5716.71027025362,5628.05907979498,7770.35685228119,6812.07679444262,5695.10285844326,12019.0523039091,6617.54278734881,11550.4029604165
"38",0.37,0.1,93475.4465012474,147.361561315048,587.94642332512,435.013725315202,502.766377734821,3191.1363658977,6211.75117696253,5906.6829713491,5766.5887004047,5505.96010432565,5185.20765406373,5112.10326982472,7702.02153635586,6770.78594821463,5666.32456282174,13813.5549945025,7638.25852643734,13331.982602397
"39",0.38,0.1,90530.0638360155,138.791556587839,553.303447895683,404.092121682698,471.103098064931,3093.59790917392,6082.63478841862,5907.45493559284,5762.64582008868,5499.81607639103,5178.64371439541,5119.76071610618,7814.42071103942,6886.8242632646,5758.37235389336,12675.2824880681,6987.38542274286,12195.9344126094
"40",0.39,0.1,95642.7886177836,140.160400198186,558.892120329579,422.485793914516,489.743921865532,3308.35983975245,6494.51019088051,6343.03139451408,6193.59983176872,5911.90580675104,5564.54924121668,5487.90308949283,7619.25364172662,6700.87524788401,5606.57234011688,13827.8369839614,7639.30305532821,13333.8057180824
