"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"2056",0.55,0.3,126885024.307833,1514663.34833559,5693633.73438421,10134614.9547287,12093942.5281956,12873271.0809118,10303848.8255631,9824791.68062555,9597352.78782863,9168609.20579349,8635123.9047517,8473913.45792786,7618120.910416,6630454.71382058,5528406.63580449,3506784.23901868,1925930.84548815,3361561.45423894
"2057",0.56,0.3,127051518.669791,1528389.09958097,5747077.08870497,10266970.9625957,12269614.5600496,13011160.6837879,10370085.8460466,9814664.536965,9592042.89642198,9167964.7952836,8636191.50866708,8463615.30676489,7429920.00197663,6431741.02985095,5359177.98338251,3573533.7741372,1963038.54452849,3426330.05104638
"2058",0.57,0.3,118970356.267448,1400833.08489093,5255215.27045948,9778249.79958482,11828323.6501835,12559374.4489069,9835775.03347987,9084837.19535239,8875349.93803028,8492398.1834344,8013327.31123149,7849079.99681879,6937358.31305571,5986210.54939839,4975901.76198808,3232010.09322252,1772446.00715008,3093665.6302601
"2059",0.58,0.3,116164535.518474,1368564.54254741,5114631.65948244,9346175.00809548,11357038.7157703,12163410.3429115,9491329.55292734,8916002.70177659,8713393.06726683,8330394.6852435,7855118.40458164,7690104.92004697,7062329.46863135,6117768.52844804,5080272.13465522,3021198.95986188,1652497.67024804,2884305.15597997
"2060",0.59,0.3,131033089.671521,1548679.0857063,5791447.58796305,10252834.9894144,12200618.2840482,13035539.3181007,10518194.473911,9999206.5041842,9760387.50623848,9322764.38314862,8783719.61835662,8637536.63483516,8182076.45252118,7171623.72211869,5993583.31763609,3909254.95273179,2158365.24901991,3767257.59158655
"2061",0.6,0.3,121905570.816399,1441035.83300491,5391965.61247578,9770499.32118792,11753852.4029654,12520798.006016,9922636.48372242,9435012.96949781,9215671.1439612,8807756.55546439,8300228.96675915,8143045.51767485,7305915.66732912,6333940.29468271,5270941.82851315,3313253.6333996,1813570.81037778,3165445.76936665
"2062",0.61,0.3,122060718.108154,1414486.75455821,5251908.14718846,9828196.15041227,11829988.7889193,12704181.7605962,10097975.2858305,9485587.05519926,9256292.8846302,8846944.21236124,8339836.84097603,8182756.5099762,7227000.2545179,6254902.46799997,5201661.38994442,3249544.28970799,1780948.77187809,3108506.54345759
"2063",0.62,0.3,118172431.4763,1382609.54898876,5140382.8013,9538943.21362356,11528607.5861287,12335176.7873728,9725142.57930863,9134450.86385356,8923207.09083083,8531480.05358073,8042211.79797722,7876335.93536319,6985572.29063735,6029758.67002948,5011142.98311347,3195785.30617806,1745314.41588854,3046309.55212514
"2064",0.63,0.3,124321381.750238,1454283.18707235,5412350.28165325,10031552.0432811,12040495.4461084,12805916.4861864,10192712.545488,9590464.54049506,9367636.95170561,8956090.03995132,8441375.4954293,8274096.25273617,7335201.97482474,6348247.38347387,5286265.78833496,3505227.31852456,1923007.32970271,3356458.68527014
"2065",0.64,0.3,121851375.553341,1433418.55563244,5330040.45657656,9760907.61324863,11757613.8299117,12530996.6065263,9938781.3411432,9371205.39944192,9151877.05613671,8748762.32784969,8247315.84511575,8089663.61382285,7314689.78066387,6355282.69130221,5294607.96118873,3397588.54799301,1868064.19730455,3260559.72948296
"2066",0.65,0.3,118786220.68291,1408585.40288794,5220440.32006593,9553138.56330393,11522714.6845479,12337040.8285088,9775277.95265534,9143624.80990919,8927812.38635319,8535704.01518754,8048111.37203554,7892018.10338892,7035652.44657478,6093551.63287388,5071627.61724457,3280206.42191546,1799619.42026899,3141094.70518782
"2067",0.66,0.3,122823759.383325,1448438.63079207,5374368.78619608,9741427.16693604,11701782.0945944,12489373.5667697,9966026.10554476,9590229.43183184,9365307.87366349,8946065.76219584,8425526.11170397,8268890.41436072,7397040.48516112,6409104.86999161,5331875.27355027,3345069.87789461,1829676.29481484,3193556.63732314
"2068",0.67,0.3,119033008.903988,1394123.40879566,5136843.98786018,9510952.92445027,11484442.4045918,12336329.8975333,9804808.36651726,9113930.53124483,8894943.57812307,8500205.05301627,8016531.21790122,7862947.61541732,7385383.290974,6417243.25909242,5330059.2591552,3133735.13259662,1715776.1557309,2994752.82098794
"2069",0.68,0.3,111696337.147549,1295386.65554469,4764247.28389743,9043419.81357735,11051381.7960423,11884156.4998251,9289726.91939555,8721543.09928829,8517134.03993745,8144346.72998161,7679973.36781139,7515466.92479508,6535057.6370276,5609566.09635625,4646137.68910226,2804974.53631319,1527567.96579956,2666250.09285419
"2070",0.69,0.3,115718039.11947,1348586.06576188,4983128.05892158,9417567.52321214,11440128.3038069,12213844.5922444,9578017.44443747,8881321.38664701,8677837.38389483,8302477.78229202,7831469.62364376,7660306.21084983,6752101.85857212,5819060.67979425,4835643.18383032,3185930.64002172,1744948.13833654,3045670.24320277
"2071",0.7,0.3,118454280.044753,1379019.09886322,5090811.62080388,9482490.31977092,11468043.1003843,12288495.4976293,9734801.9726019,9162070.12782016,8945026.23987672,8550394.78927299,8061006.33399432,7902910.93414714,7130044.81538313,6174394.43818984,5131844.4412499,3181996.10200835,1737776.86619952,3033153.34655732
